No.,역할,구분,기능 이름,요구사항 설명,비고
1,사용자,지역 분석,지도 시각화,"1. 전국 17개 시·도 GeoJSON 지도를 화면에 표시한다. 2. 친환경·대형·여성·수입·16색 페르소나 5가지 모드로 지도 색상을 전환한다. 3. 지도 클릭 또는 지역 검색으로 특정 시·도를 선택할 수 있다.",Folium·streamlit-folium 사용
2,사용자,지역 분석,월별 데이터 조회,"1. 6개월치 데이터(202512~202605) 중 조회 월을 선택할 수 있다. 2. 월 변경 시 지도·통계·추천 정보가 해당 월 기준으로 갱신된다. 3. year_month 형식(yyyymm)을 화면에는 '2026년 5월' 형태로 표시한다.",region_stats 기준
3,사용자,지역 분석,지역 Car-BTI 조회,"1. 선택한 지역의 Car-BTI 4자리 코드(예: ESFI)를 표시한다. 2. 친환경·대형·여성·수입 4축 비율을 함께 제공한다. 3. 최신 월 또는 사용자가 지정한 월 기준으로 조회한다.",DB region_stats 조회
4,사용자,지역 분석,레이더·추이 차트,"1. 선택 지역의 4축 비율을 레이더 차트로 시각화한다. 2. 최근 6개월 간 지표 변화를 선 그래프로 표시한다. 3. 차트는 선택 지역·월 변경 시 자동 갱신된다.",Plotly 사용
5,사용자,지역 분석,지표 상위 지역,"1. 친환경·대형·여성·수입 비율 기준 상위 N개 지역을 조회할 수 있다. 2. 상위 지역별 비율·페르소나 코드를 함께 표시한다. 3. 월 지정이 없으면 최신 월 기준으로 조회한다.",챗봇·대시보드 공통 로직
6,사용자,Car-BTI 테스트,성향 진단 설문,"1. 친환경/차급/성별/수입 선호 4문항 설문을 제공한다. 2. 응답 결과를 4자리 Car-BTI 코드로 산출한다. 3. 16가지 페르소나 중 하나의 결과를 사용자에게 제시한다.",MBTI 스타일 4축
7,사용자,Car-BTI 테스트,유사 지역 추천,"1. 진단 결과 페르소나와 동일한 Car-BTI를 가진 지역 Top 3를 표시한다. 2. 지역명과 해당 월 기준 페르소나 코드를 함께 보여준다. 3. 유사 지역이 없을 경우 안내 메시지를 표시한다.",region_stats 매칭
8,사용자,Car-BTI 테스트,결과 이미지·다운로드,"1. 진단 결과 페르소나 이미지 카드를 화면에 표시한다. 2. 사용자가 결과 이미지를 파일로 다운로드할 수 있다. 3. 페르소나 코드·닉네임·요약 문구를 카드에 포함한다.",전진영 담당 영역
9,사용자,맞춤 콘텐츠,페르소나 매칭 차량,"1. 선택 지역 또는 진단 결과 페르소나에 맞는 추천 차량을 표시한다. 2. 브랜드·모델·가격·추천 이유를 카드 형태로 제공한다. 3. 차량 이미지가 DB에 있으면 함께 표시한다.",persona_cars 64건
10,사용자,맞춤 콘텐츠,성향 맞춤 FAQ,"1. 페르소나·추천 브랜드에 맞는 FAQ를 노출한다. 2. 여러 브랜드 FAQ를 라운드로빈 방식으로 균형 있게 표시한다. 3. 질문·답변 전문을 읽을 수 있도록 제공한다.",company_faq 755건+
11,사용자,맞춤 콘텐츠,추천 차량 뉴스,"1. 추천 차량·브랜드 키워드로 네이버 뉴스 최신 기사를 조회한다. 2. 기사 제목·요약·링크를 목록으로 표시한다. 3. API 키 미설정 시 안내 메시지를 표시하고 오류 없이 동작한다.",30분 캐시 적용
12,사용자,AI 상담 챗봇,채팅 UI,"1. 사용자 질문과 봇 답변을 말풍선 형태로 구분해 표시한다. 2. 질문 입력창을 화면 하단(대화 초기화 버튼 위)에 배치한다. 3. 빠른 질문 버튼·대화 초기화 기능을 제공한다.",chatbot/ui.py
13,사용자,AI 상담 챗봇,지역·통계 질의,"1. '서울 Car-BTI'·'친환경 비율 상위 5개 지역' 등 지역·통계 질문에 DB 수치 기반으로 답변한다. 2. 월(2026-05·202605)·지역명·페르소나 코드를 질문에서 인식한다. 3. 통계 질문에 FAQ가 아닌 SQL 조회 결과를 우선 반환한다.",구조화 핸들러 우선
14,사용자,AI 상담 챗봇,페르소나·지역 매칭 질의,"1. 'ESFI인 지역 있어?'처럼 페르소나 코드 기준 지역 목록을 조회한다. 2. '부산과 같은 Car-BTI 지역'처럼 특정 지역과 동일 페르소나 지역을 조회한다. 3. 페르소나 설명 질문과 지역 목록 질문을 구분해 처리한다.",query_intent.py
15,사용자,AI 상담 챗봇,추천 차량·FAQ 질의,"1. 'ELFI 추천 차량' 등 페르소나별 추천 차량을 안내한다. 2. '기아 전기차 FAQ'·'EV 충전' 등 브랜드·주제 FAQ를 검색해 답변한다. 3. 키워드가 달라도 의미가 유사하면 관련 FAQ를 찾을 수 있다.",하이브리드 RAG
16,사용자,AI 상담 챗봇,범위 밖 질문 처리,"1. 날씨·주식 등 DB와 무관한 질문은 답변하지 않고 안내 메시지를 표시한다. 2. 인사말에는 환영 메시지로 응답한다. 3. DB 관련 질문은 키워드·의도 분류로 우선 판별한다.",scope.py
17,사용자,AI 상담 챗봇,답변 폴백,"1. OpenAI API 실패 시에도 DB·FAQ 조회 결과로 답변을 시도한다. 2. 조회 결과가 없으면 '조회된 데이터가 없습니다'를 안내한다. 3. LLM 없이도 주요 DB 질문은 1~3초 내 응답한다.",할당량 부족 시 로컬 임베딩
18,시스템,데이터·DB,국토부 데이터 전처리,"1. 국토부 자동차 등록 통계 XLSX를 CSV로 변환한다. 2. 4축 비율(친환경·대형·여성·수입)을 시·도별로 산출한다. 3. 랭크 8:9 분할로 4자리 persona_code를 부여한다.",region_ETL.py
19,시스템,데이터·DB,MySQL 적재·연동,"1. car_bti DB 및 region_stats·persona_cars·company_faq 등 테이블을 구축한다. 2. 6개월·17개 시도 데이터를 region_stats에 적재한다. 3. .env 기반 MySQL 접속 및 Streamlit 연동을 지원한다.",db_config.py
20,시스템,데이터·DB,FAQ·이미지 수집,"1. 브랜드 공식 FAQ·K Car 옥션 FAQ를 크롤링해 DB에 적재한다. 2. 크롤링 실패 브랜드는 시드 FAQ로 대체한다. 3. 추천 차량 이미지를 수집해 persona_cars에 저장한다.",crawler/
21,시스템,데이터·DB,Vector 인덱스 동기화,"1. company_faq·tbl_persona_detail을 Chroma Vector DB에 동기화한다. 2. FAQ 변경 시 sync_vector_index.py로 재색인할 수 있다. 3. OpenAI 할당량 부족 시 로컬 임베딩으로 대체한다.",EMBEDDING_PROVIDER=local
22,시스템,비기능,보안·환경설정,"1. MySQL·네이버·OpenAI API 키를 .env 파일로 관리한다. 2. .env·secrets 파일은 Git에 커밋하지 않는다. 3. API 키 미설정 시 해당 기능만 비활성화하고 앱은 유지한다.",.gitignore 적용
23,시스템,비기능,품질 점검·문서화,"1. check_db.py로 테이블 건수·FAQ·이미지 적재 상태를 점검한다. 2. README·WBS·요구사항 명세서를 작성한다. 3. requirements.txt로 의존성 버전을 고정한다.",numpy<2 등 호환성 관리
